timestamp,host,version,array_size,replicate,elapsed_s
2025-11-01T13:30:16,DESKTOP-VVR72A9,Sequential,50000,75,0.08925
2025-11-01T13:30:16,DESKTOP-VVR72A9,Sequential,50000,76,0.10551
2025-11-01T13:30:16,DESKTOP-VVR72A9,Sequential,2000000,77,3.57078
2025-11-01T13:30:16,DESKTOP-VVR72A9,Sequential,2000000,78,4.19266
2025-11-01T13:30:16,DESKTOP-VVR72A9,Sequential,100000,79,0.23357
2025-11-01T13:30:16,DESKTOP-VVR72A9,Parallel,200000,80,0.47922
2025-11-01T13:30:16,DESKTOP-VVR72A9,Sequential,1000000,81,1.6624
2025-11-01T13:30:16,DESKTOP-VVR72A9,Parallel,2000000,82,2.54044
2025-11-01T13:30:16,DESKTOP-VVR72A9,Parallel,2000000,83,2.86906
2025-11-01T13:30:16,DESKTOP-VVR72A9,Sequential,10000,84,0.01813
2025-11-01T13:30:16,DESKTOP-VVR72A9,Sequential,1000000,85,2.37229
2025-11-01T13:30:16,DESKTOP-VVR72A9,Parallel,100000,86,0.20939
2025-11-01T13:30:16,DESKTOP-VVR72A9,Parallel,1000000,87,1.66983
2025-11-01T13:30:16,DESKTOP-VVR72A9,Sequential,10000,88,0.01607
2025-11-01T13:30:16,DESKTOP-VVR72A9,Parallel,10000,89,0.02169
2025-11-01T13:30:16,DESKTOP-VVR72A9,Parallel,1000000,90,1.17069
2025-11-01T13:30:16,DESKTOP-VVR72A9,Sequential,2000000,91,4.0207
2025-11-01T13:30:16,DESKTOP-VVR72A9,Sequential,500000,92,1.19085
2025-11-01T13:30:16,DESKTOP-VVR72A9,Sequential,2000000,93,3.31361
2025-11-01T13:30:16,DESKTOP-VVR72A9,Sequential,200000,94,0.39439
2025-11-01T13:30:16,DESKTOP-VVR72A9,Parallel,100000,95,0.20038
2025-11-01T13:30:16,DESKTOP-VVR72A9,Sequential,1000000,96,1.94885
2025-11-01T13:30:16,DESKTOP-VVR72A9,Parallel,100000,97,0.18481
2025-11-01T13:30:16,DESKTOP-VVR72A9,Sequential,200000,98,0.44171
2025-11-01T13:30:16,DESKTOP-VVR72A9,Parallel,1000000,99,1.47678
2025-11-01T13:30:16,DESKTOP-VVR72A9,Parallel,10000,100,0.01713
2025-11-01T13:30:16,DESKTOP-VVR72A9,Parallel,500000,101,0.65356
2025-11-01T13:30:16,DESKTOP-VVR72A9,Sequential,1000000,102,1.95284
2025-11-01T13:30:16,DESKTOP-VVR72A9,Parallel,100000,103,0.21988
2025-11-01T13:30:16,DESKTOP-VVR72A9,Sequential,200000,104,0.39484
2025-11-01T13:30:16,DESKTOP-VVR72A9,Parallel,2000000,105,2.57869
2025-11-01T13:30:16,DESKTOP-VVR72A9,Sequential,2000000,106,4.31451
2025-11-01T13:30:16,DESKTOP-VVR72A9,Parallel,10000,107,0.01984
2025-11-01T13:30:16,DESKTOP-VVR72A9,Sequential,50000,108,0.09403
2025-11-01T13:30:16,DESKTOP-VVR72A9,Sequential,1000000,109,2.28091
2025-11-01T13:30:16,DESKTOP-VVR72A9,Sequential,200000,110,0.35693
2025-11-01T13:30:16,DESKTOP-VVR72A9,Sequential,1000000,111,1.88673
2025-11-01T13:30:16,DESKTOP-VVR72A9,Sequential,200000,112,0.46812
2025-11-01T13:30:16,DESKTOP-VVR72A9,Parallel,100000,113,0.18036
2025-11-01T13:30:16,DESKTOP-VVR72A9,Sequential,200000,114,0.41187
2025-11-01T13:30:16,DESKTOP-VVR72A9,Parallel,200000,115,0.33476
2025-11-01T13:30:16,DESKTOP-VVR72A9,Parallel,50000,116,0.08037
2025-11-01T13:30:16,DESKTOP-VVR72A9,Parallel,100000,117,0.21709
